 Plate No,Thick,DISCHARGE_TEMP,HEATING_TIME,P1_TEMP,LAST_PASS_TEMP,FINAL_TEMP,LAST_ROUGH_RED,last_pass_no,FIRST_FIN_RED,FINAL_RED,WAITING_THICK,RESTART_TEMPR,START_TEMPR,WAIT_TIME,C,Mn,P,S,SI,Al,Nb,V,Cu,Charpy
SCC072413,32,1221,4.40,1116.60,901.39,853.81,20.15,13,20.39,20.16,91.28,933.00,1098.51,272.58,0.180,1.360,0.018,0.016,0.286,0.016,0.031,0.033,0.002,Pass
SCC072414,32,1218,4.33,1121.37,881.19,828.84,20.79,13,20.29,20.03,91.24,931.02,1121.39,332.64,0.180,1.360,0.018,0.016,0.286,0.016,0.031,0.033,0.002,Pass
SCC072417,32,1227,4.39,1133.45,884.82,829.01,20.67,13,20.50,20.46,91.24,933.33,1118.42,302.50,0.160,1.310,0.025,0.017,0.178,0.018,0.030,0.036,0.002,Pass
SCC072417,32,1227,4.39,1133.45,884.82,829.01,20.67,13,20.50,20.46,91.24,933.33,1118.42,302.50,0.160,1.310,0.025,0.017,0.178,0.018,0.030,0.036,0.002,Pass
SCC072418,25,1219,4.42,1147.62,878.79,824.22,21.77,15,22.07,19.61,74.30,924.78,1125.41,232.43,0.170,1.400,0.018,0.007,0.332,0.021,0.048,0.045,0.002,Pass
SCC072419,25,1228,4.46,1132.08,877.05,830.59,21.76,15,22.39,19.57,74.30,924.95,1120.80,227.60,0.170,1.400,0.018,0.007,0.332,0.021,0.048,0.045,0.002,Pass
SCC072432,25,1202,3.86,1118.87,860.44,815.81,21.31,15,21.59,14.24,69.36,930.33,1087.67,177.75,0.184,1.330,0.020,0.012,0.285,0.038,0.035,0.034,0.002,Pass
SCC072433,25,1201,3.98,1118.56,894.57,846.00,21.31,15,21.61,14.44,69.35,931.10,1094.21,177.45,0.184,1.330,0.020,0.012,0.285,0.038,0.035,0.034,0.002,Pass
SCC072441,25,1220,3.98,1137.29,879.94,830.32,21.48,15,22.88,18.76,69.32,924.16,1119.42,202.44,0.170,1.330,0.017,0.011,0.257,0.028,0.037,0.032,0.002,Pass
SCC072442,25,1215,3.94,1143.29,938.12,871.74,21.49,15,21.59,14.30,69.35,940.09,1111.30,182.35,0.170,1.330,0.017,0.011,0.257,0.028,0.037,0.032,0.002,Pass
SCC072448,32,1228,3.93,1139.26,885.73,810.21,21.48,13,20.45,20.47,91.21,929.77,1133.41,357.41,0.192,1.400,0.020,0.012,0.271,0.039,0.051,0.047,0.002,Pass
SCC072449,32,1228,3.98,1132.68,890.90,828.11,21.34,13,20.62,20.60,91.23,933.16,1121.19,312.49,0.192,1.400,0.020,0.012,0.271,0.039,0.051,0.047,0.002,Pass
SCC072475,20,1163,3.68,1105.82,826.61,821.22,22.88,15,22.61,15.28,59.41,952.89,1060.08,91.87,0.160,1.250,0.022,0.006,0.232,0.021,0.036,0.032,0.002,Pass
SCC072476,20,1192,3.82,1116.17,864.53,826.14,23.56,15,22.72,15.10,59.41,944.25,1099.58,142.29,0.160,1.250,0.022,0.006,0.232,0.021,0.036,0.032,0.002,Pass
SCC072480,32,1205,3.96,1119.36,883.31,843.80,19.88,13,20.04,19.88,89.27,929.88,1115.04,297.61,0.170,1.349,0.021,0.010,0.312,0.015,0.044,0.044,0.002,Pass
SCC072481,32,1210,4.00,1011.14,886.85,851.19,19.87,13,20.11,20.06,89.29,931.56,1091.06,262.43,0.170,1.349,0.021,0.010,0.312,0.015,0.044,0.044,0.002,Pass
SCC072491,25,1226,4.67,1137.15,873.37,822.71,15.18,15,21.91,19.77,74.31,924.97,1131.04,218.06,0.170,1.310,0.021,0.009,0.248,0.029,0.032,0.032,0.002,Pass
SCC072492,25,1231,4.73,1133.21,871.33,837.98,15.21,15,21.99,19.77,74.29,925.09,1134.30,232.42,0.170,1.310,0.021,0.009,0.248,0.029,0.032,0.032,0.002,Pass
SCC072509,20,-1,7.80,1118.55,888.37,827.29,20.96,15,22.08,15.88,59.41,935.94,1090.52,132.38,0.160,1.280,0.020,0.006,0.280,0.015,0.040,0.036,0.002,Pass
SCC072510,20,-1,7.93,1117.64,876.28,817.97,20.37,15,22.07,15.90,59.39,932.18,1101.70,152.36,0.160,1.280,0.020,0.006,0.280,0.015,0.040,0.036,0.002,Pass
SCC072521,20,1238,6.01,1143.77,869.20,806.92,18.96,15,22.07,15.88,59.36,934.33,1134.50,172.46,0.170,1.300,0.020,0.014,0.291,0.028,0.042,0.039,0.002,Pass
SCC072523,20,1229,6.13,1124.71,862.27,749.28,19.76,15,22.06,15.71,59.37,932.14,1123.42,167.46,0.170,1.300,0.020,0.014,0.291,0.028,0.042,0.039,0.002,Pass
SCC072529,16,1229,6.79,1137.99,849.55,727.95,21.40,15,23.59,12.54,47.42,950.79,1136.16,78.15,0.170,1.260,0.021,0.015,0.243,0.044,0.044,0.032,0.002,Pass
SCC072529,16,1229,6.79,1137.99,849.55,727.95,21.40,15,23.59,12.54,47.42,950.79,1136.16,78.15,0.170,1.260,0.021,0.015,0.243,0.044,0.044,0.032,0.002,Pass
SCC072530,16,1234,6.88,1137.53,861.03,727.21,21.97,15,23.70,11.55,47.41,938.23,1115.39,117.63,0.170,1.260,0.021,0.015,0.243,0.044,0.044,0.032,0.002,Pass
SCC072530,16,1234,6.88,1137.53,861.03,727.21,21.97,15,23.70,11.55,47.41,938.23,1115.39,117.63,0.170,1.260,0.021,0.015,0.243,0.044,0.044,0.032,0.002,Pass
SCC072546,20,1201,3.58,1103.62,849.05,740.92,20.75,15,22.09,15.75,59.40,923.09,1106.69,147.39,0.184,1.330,0.020,0.012,0.285,0.038,0.035,0.034,0.002,Pass
SCC072547,20,1206,3.59,1126.27,848.25,789.56,20.73,15,22.06,15.76,59.37,923.65,1110.97,167.67,0.184,1.330,0.020,0.012,0.285,0.038,0.035,0.034,0.002,Pass
SCC072549,16,1217,3.74,1127.14,831.56,740.46,26.49,15,23.82,10.92,47.40,927.11,1125.10,92.59,0.150,1.300,0.020,0.010,0.265,0.026,0.035,0.030,0.002,Pass
SCC072550,16,1223,3.87,1127.88,842.22,893.61,24.59,15,23.91,10.31,47.39,917.39,1129.56,142.17,0.150,1.300,0.020,0.010,0.265,0.026,0.035,0.030,0.002,Pass
SCC072685,20,1224,5.25,1132.51,827.61,844.02,17.20,15,22.18,16.25,59.39,947.04,1130.30,83.89,0.180,1.300,0.020,0.015,0.288,0.024,0.047,0.042,0.002,Pass
SCC072686,20,1227,5.64,1118.88,852.08,841.87,17.66,15,22.13,16.05,59.37,934.23,1130.51,117.43,0.180,1.300,0.020,0.015,0.288,0.024,0.047,0.042,0.002,Pass
SCC072693,25,1230,5.21,1131.02,868.59,828.60,26.69,15,20.64,11.66,74.27,925.46,1135.98,252.30,0.180,1.350,0.022,0.012,0.245,0.020,0.040,0.040,0.002,Pass
SCC072694,25,1233,5.25,1130.70,866.30,831.87,26.63,15,20.63,11.57,74.26,925.90,1133.05,242.78,0.180,1.350,0.022,0.012,0.245,0.020,0.040,0.040,0.002,Pass
SCC072915,20,1191,3.94,1072.67,882.38,838.86,17.37,15,22.55,16.83,39.53,972.00,1096.05,33.16,0.180,1.290,0.025,0.007,0.263,0.026,0.040,0.036,0.002,Pass
SCC072915,20,1191,3.94,1072.67,882.38,838.86,17.37,15,22.55,16.83,39.53,972.00,1096.05,33.16,0.180,1.290,0.025,0.007,0.263,0.026,0.040,0.036,0.002,Pass
SCC072969,30,1229,7.00,1089.62,876.01,836.97,21.84,15,19.46,10.75,89.25,936.74,1123.81,257.78,0.180,1.300,0.025,0.010,0.263,0.027,0.037,0.031,0.002,Pass
