 Plate No,Thick,DISCHARGE_TEMP,HEATING_TIME,P1_TEMP,LAST_PASS_TEMP,FINAL_TEMP,LAST_ROUGH_RED,last_pass_no,FIRST_FIN_RED,FINAL_RED,WAITING_THICK,RESTART_TEMPR,START_TEMPR,WAIT_TIME,C,Mn,P,S,SI,Al,Nb,V,Cu,Charpy
SCC074423,16,1247,5.49,1157.61,917.01,856.60,31.55,13,22.76,16.27,31.49,963.29,1153.59,42.88,0.161,1.312,0.023,0.008,0.233,0.028,0.043,0.034,0.002,Pass
SCC074424,16,1254,5.58,1155.74,891.73,835.53,29.36,13,23.21,14.19,31.48,966.38,1161.01,47.88,0.161,1.312,0.023,0.008,0.233,0.028,0.043,0.034,0.002,Pass
SCC074430,16,1201,4.26,1094.20,852.34,804.08,26.49,15,23.86,13.81,47.43,951.62,1109.12,72.18,0.170,1.180,0.022,0.010,0.210,0.030,0.038,0.035,0.002,Pass
SCC074431,16,1193,4.23,1092.67,844.31,811.22,26.67,15,23.86,13.10,47.45,953.94,1101.21,62.12,0.170,1.180,0.022,0.010,0.210,0.030,0.038,0.035,0.002,Pass
SCC074440,12,1219,4.50,1110.90,801.48,756.52,20.42,15,24.28,13.15,35.47,933.57,1127.36,72.45,0.180,1.120,0.022,0.015,0.217,0.017,0.032,0.033,0.002,Pass
SCC074441,12,1217,4.32,1118.12,805.11,764.34,21.19,15,24.31,11.85,35.48,936.35,1123.02,67.58,0.180,1.120,0.022,0.015,0.217,0.017,0.032,0.033,0.002,Pass
SCC074485,20,1211,4.51,1114.55,798.05,811.47,19.42,15,22.97,15.04,59.42,976.65,1108.83,77.70,0.170,1.100,0.021,0.018,0.250,0.044,0.035,0.030,0.002,Pass
SCC074486,20,1219,4.60,1107.67,822.50,825.52,18.84,15,23.12,14.83,59.54,991.36,1112.59,67.51,0.170,1.100,0.021,0.018,0.250,0.044,0.035,0.030,0.002,Pass
SCC074501,20,1226,4.37,1127.50,815.89,817.14,18.75,15,22.96,14.37,59.43,988.98,1123.83,77.53,0.180,1.240,0.023,0.012,0.235,0.028,0.036,0.034,0.002,Pass
SCC074501,20,1226,4.37,1127.50,815.89,817.14,18.75,15,22.96,14.37,59.43,988.98,1123.83,77.53,0.180,1.240,0.023,0.012,0.235,0.028,0.036,0.034,0.002,Pass
SCC074503,12,1223,4.43,1133.32,811.87,776.80,20.74,15,24.26,12.21,35.49,965.45,1127.30,51.95,0.170,1.190,0.025,0.011,0.280,0.025,0.037,0.035,0.002,Pass
SCC074504,12,1231,4.53,1128.81,819.90,773.08,19.36,15,24.23,12.98,35.49,961.91,1138.78,57.45,0.170,1.190,0.025,0.011,0.280,0.025,0.037,0.035,0.002,Pass
SCC074518,12,1241,4.79,1117.52,852.23,974.50,19.09,15,24.05,12.61,35.49,977.36,1147.01,52.34,0.170,1.300,0.024,0.015,0.222,0.027,0.034,0.034,0.002,Pass
SCC074519,12,1232,4.76,1127.69,836.20,784.20,19.58,15,24.04,12.60,35.50,977.07,1139.17,42.46,0.170,1.300,0.024,0.015,0.222,0.027,0.034,0.034,0.002,Pass
SCC074533,36,1236,5.16,1128.63,889.59,841.94,21.66,13,21.09,18.27,89.22,932.40,1144.52,302.87,0.200,1.330,0.025,0.017,0.293,0.032,0.034,0.035,0.002,Pass
SCC074534,36,1243,5.20,1128.27,905.57,862.96,21.37,13,20.50,18.25,89.27,939.21,1131.46,222.68,0.200,1.330,0.025,0.017,0.293,0.032,0.034,0.035,0.002,Pass
SCC074547,16,1235,5.18,1129.09,849.17,809.84,24.51,15,24.28,11.87,47.43,962.67,1141.83,82.57,0.170,1.200,0.023,0.012,0.210,0.014,0.032,0.032,0.002,Pass
SCC074548,16,1241,5.31,1125.92,874.47,818.78,23.68,15,24.00,12.86,47.42,971.43,1147.53,72.07,0.170,1.200,0.023,0.012,0.210,0.014,0.032,0.032,0.002,Pass
SCC074583,30,1227,4.78,1124.36,865.05,841.10,19.84,15,19.82,11.69,89.24,934.04,1120.69,267.92,0.170,1.400,0.022,0.008,0.312,0.037,0.037,0.033,0.002,Pass
SCC074584,30,1233,4.82,1127.01,856.45,842.06,20.07,15,20.61,11.50,89.24,939.89,1129.85,237.58,0.170,1.400,0.022,0.008,0.312,0.037,0.037,0.033,0.002,Pass
SCC074595,32,1220,4.74,1119.36,843.72,808.86,21.32,15,18.89,10.68,89.23,933.84,1128.44,292.45,0.180,1.350,0.025,0.016,0.300,0.011,0.035,0.031,0.002,Pass
SCC074596,32,1228,4.80,1097.06,895.89,858.43,20.76,13,19.87,21.01,89.25,934.66,1117.05,252.55,0.180,1.350,0.025,0.016,0.300,0.011,0.035,0.031,0.002,Pass
SCC074779,40,1231,5.18,1128.67,886.72,845.59,24.19,13,17.65,13.26,79.28,930.50,1115.21,232.25,0.170,1.320,0.027,0.015,0.263,0.028,0.036,0.036,0.002,Pass
SCC074780,40,1239,5.22,1125.44,886.73,832.52,24.18,13,17.60,13.60,79.27,923.45,1116.72,277.56,0.170,1.320,0.027,0.015,0.263,0.028,0.036,0.036,0.002,Pass
SCC074785,30,1233,5.16,1119.40,889.78,846.95,14.90,15,22.55,21.25,84.28,931.79,1125.02,247.59,0.160,1.300,0.020,0.018,0.216,0.031,0.040,0.035,0.002,Pass
SCC074786,30,1241,5.20,1118.41,891.39,851.51,15.51,15,23.81,21.28,84.28,938.94,1130.04,212.26,0.160,1.300,0.020,0.018,0.216,0.031,0.040,0.035,0.002,Pass
SCC074787,18,1227,5.20,1117.10,855.18,819.09,29.04,13,23.02,14.64,53.39,945.97,1124.82,122.42,0.200,1.330,0.025,0.017,0.293,0.032,0.034,0.035,0.002,Pass
SCC074787,18,1227,5.20,1117.10,855.18,819.09,29.04,13,23.02,14.64,53.39,945.97,1124.82,122.42,0.200,1.330,0.025,0.017,0.293,0.032,0.034,0.035,0.002,Pass
SCC074790,18,1224,5.24,1117.03,854.17,824.33,29.43,13,23.02,14.83,53.39,945.36,1129.09,122.63,0.170,1.310,0.023,0.008,0.200,0.031,0.037,0.040,0.002,Pass
SCC074790,18,1224,5.24,1117.03,854.17,824.33,29.43,13,23.02,14.83,53.39,945.36,1129.09,122.63,0.170,1.310,0.023,0.008,0.200,0.031,0.037,0.040,0.002,Pass
SCC075548,20,1216,4.19,1125.88,850.75,847.59,31.09,13,22.45,16.79,39.42,967.52,1122.53,57.75,0.180,1.130,0.025,0.010,0.275,0.027,0.038,0.030,0.002,Pass
SCC075548,20,1216,4.19,1125.88,850.75,847.59,31.09,13,22.45,16.79,39.42,967.52,1122.53,57.75,0.180,1.130,0.025,0.010,0.275,0.027,0.038,0.030,0.002,Pass
SCC075562,25,1227,4.96,1131.94,858.72,824.02,16.79,15,23.16,19.74,71.31,928.19,1133.18,187.45,0.200,1.230,0.021,0.013,0.242,0.019,0.035,0.031,0.002,Pass
SCC075562,25,1227,4.96,1131.94,858.72,824.02,16.79,15,23.16,19.74,71.31,928.19,1133.18,187.45,0.200,1.230,0.021,0.013,0.242,0.019,0.035,0.031,0.002,Pass
SCC075596,20,1213,4.25,1129.10,837.83,812.77,20.74,15,24.39,13.24,59.40,946.57,1118.60,122.94,0.170,1.260,0.022,0.011,0.227,0.033,0.034,0.030,0.002,Pass
SCC075596,20,1213,4.25,1129.10,837.83,812.77,20.74,15,24.39,13.24,59.40,946.57,1118.60,122.94,0.170,1.260,0.022,0.011,0.227,0.033,0.034,0.030,0.002,Pass
SCC075690,16,1207,5.87,1092.33,847.31,808.95,25.95,15,24.08,11.09,47.40,921.74,1115.26,107.37,0.180,1.100,0.024,0.018,0.193,0.020,0.035,0.033,0.002,Pass
SCC075691,16,1223,5.96,1088.52,875.95,812.42,24.11,15,23.87,11.74,47.39,925.59,1128.17,107.10,0.180,1.100,0.024,0.018,0.193,0.020,0.035,0.033,0.002,Pass
SCC075700,20,1197,4.23,1107.81,869.36,832.58,20.53,15,23.71,14.73,59.39,925.95,1101.05,147.59,0.180,1.130,0.025,0.010,0.275,0.027,0.038,0.030,0.002,Pass
SCC075701,20,1215,4.33,1110.65,880.23,840.13,20.81,15,23.72,14.02,59.38,933.59,1119.83,132.34,0.180,1.130,0.025,0.010,0.275,0.027,0.038,0.030,0.002,Pass
SCC075713,45,1226,4.46,1104.63,902.03,836.75,21.51,13,17.61,13.22,89.22,932.33,1132.00,302.46,0.180,1.280,0.025,0.015,0.253,0.015,0.034,0.030,0.002,Pass
SCC075714,45,1211,4.43,1076.71,897.97,847.74,21.21,13,17.74,13.55,89.25,933.73,1115.42,267.70,0.180,1.280,0.025,0.015,0.253,0.015,0.034,0.030,0.002,Pass
SCC075852,30,1210,4.95,1085.38,895.85,874.07,20.97,13,21.61,15.01,89.33,970.42,1102.44,192.73,0.200,1.320,0.025,0.018,0.293,0.023,0.040,0.037,0.002,Pass
SCC075853,30,1216,5.04,1074.94,888.80,870.24,21.05,13,22.88,14.66,89.35,978.37,1102.53,152.82,0.200,1.320,0.025,0.018,0.293,0.023,0.040,0.037,0.002,Pass
SCC075864,30,1214,4.54,1090.34,893.16,857.69,21.13,13,21.64,21.51,89.30,955.58,1107.89,217.80,0.190,1.350,0.025,0.025,0.293,0.026,0.038,0.038,0.002,Pass
SCC075865,30,1221,4.59,1079.31,893.08,865.06,21.43,13,22.00,22.66,89.30,964.44,1119.26,187.67,0.190,1.350,0.025,0.025,0.293,0.026,0.038,0.038,0.002,Pass
SCC075982,63,1229,5.45,1073.56,953.06,874.46,19.64,11,18.32,16.94,94.27,959.92,1123.89,242.50,0.190,1.390,0.020,0.018,0.350,0.042,0.039,0.036,0.002,Pass
SCC075983,63,1234,5.50,1087.08,956.43,844.41,19.57,11,19.48,16.01,94.23,948.84,1137.00,362.68,0.190,1.390,0.020,0.018,0.350,0.042,0.039,0.036,0.002,Pass
SCC075988,28,1228,5.50,1099.64,849.65,816.83,23.05,13,21.83,25.25,84.27,941.71,1122.93,247.68,0.200,1.250,0.023,0.009,0.250,0.030,0.038,0.032,0.002,Pass
SCC075989,28,1234,5.54,0.00,893.83,862.05,22.11,13,23.11,22.77,84.32,949.29,1100.75,177.58,0.200,1.250,0.023,0.009,0.250,0.030,0.038,0.032,0.002,Pass
SCC076050,20,1246,11.54,1128.42,864.69,846.50,19.46,15,22.62,15.03,59.34,927.23,1147.87,152.51,0.180,1.100,0.024,0.018,0.193,0.020,0.035,0.033,0.002,Pass
SCC076051,20,1252,11.64,1127.61,856.43,834.13,19.50,15,22.40,15.56,59.34,927.96,1155.64,172.35,0.180,1.100,0.024,0.018,0.193,0.020,0.035,0.033,0.002,Pass
SCC076457,14,1209,4.82,1115.53,867.84,816.37,24.40,15,21.74,18.38,27.52,954.96,1117.09,37.44,0.180,1.240,0.025,0.019,0.237,0.040,0.041,0.032,0.002,Pass
SCC076458,14,1222,4.91,1088.89,866.80,814.19,24.42,15,21.79,17.33,27.52,964.36,1120.12,27.32,0.180,1.240,0.025,0.019,0.237,0.040,0.041,0.032,0.002,Pass
SCC076461,12,1213,4.90,1117.29,823.16,720.74,32.81,13,21.80,18.04,23.53,954.91,1121.29,27.60,0.180,1.240,0.025,0.019,0.237,0.040,0.041,0.032,0.002,Pass
SCC076462,12,1230,5.01,1106.83,819.09,776.35,31.20,13,21.78,17.42,23.52,951.72,1134.15,32.67,0.180,1.240,0.025,0.019,0.237,0.040,0.041,0.032,0.002,Pass
SCC076569,40,1222,5.79,1129.76,879.10,849.39,15.81,17,20.02,15.91,89.31,948.75,1108.03,152.88,0.190,1.250,0.025,0.009,0.270,0.013,0.041,0.034,0.002,Pass
SCC076570,40,1237,5.83,1118.49,901.74,847.15,15.63,17,19.80,16.42,89.28,930.24,1103.99,272.42,0.190,1.250,0.025,0.009,0.270,0.013,0.041,0.034,0.002,Pass
SCC076899,32,1186,3.95,1105.17,873.65,817.92,20.10,15,19.24,11.65,94.29,945.11,1092.40,262.67,0.180,1.400,0.023,0.022,0.221,0.039,0.035,0.036,0.002,Pass
SCC076900,32,-1,4.03,1048.28,899.75,868.64,20.36,13,20.52,24.53,94.31,957.21,1096.64,187.48,0.180,1.400,0.023,0.022,0.221,0.039,0.035,0.036,0.002,Pass
SCC076909,30,1202,4.14,1130.51,874.52,854.71,19.69,13,21.02,24.89,91.32,947.46,1096.85,217.70,0.170,1.310,0.023,0.008,0.270,0.025,0.031,0.031,0.002,Pass
SCC076910,30,1230,4.20,1128.50,914.54,879.68,20.82,13,21.90,24.69,91.27,956.98,1129.52,202.45,0.170,1.310,0.023,0.008,0.270,0.025,0.031,0.031,0.002,Pass
SCC076911,30,1210,4.20,1144.94,889.48,867.26,19.81,13,21.15,25.02,91.29,945.76,1105.76,242.52,0.190,1.330,0.017,0.013,0.295,0.039,0.038,0.034,0.002,Pass
SCC076912,30,1230,4.24,1128.28,911.51,878.66,20.82,13,21.81,24.82,91.27,958.44,1126.76,197.54,0.190,1.330,0.017,0.013,0.295,0.039,0.038,0.034,0.002,Pass
SCC076917,34,1203,4.09,1126.34,902.98,861.88,19.41,13,19.71,21.35,91.27,944.16,1112.72,272.74,0.166,1.330,0.025,0.013,0.218,0.018,0.042,0.034,0.002,Pass
SCC076918,34,1225,4.13,1119.50,904.54,880.96,20.15,13,21.53,20.12,91.28,955.07,1116.15,197.54,0.166,1.330,0.025,0.013,0.218,0.018,0.042,0.034,0.002,Pass
SCC076925,25,1200,4.07,1134.15,839.99,827.93,26.19,13,24.66,21.83,74.33,941.46,1103.64,167.50,0.180,1.370,0.025,0.010,0.315,0.018,0.043,0.033,0.002,Pass
SCC076927,25,1200,4.20,1125.30,854.43,831.24,25.39,13,22.00,21.39,74.32,936.72,1107.72,207.78,0.180,1.370,0.025,0.010,0.315,0.018,0.043,0.033,0.002,Pass
SCC076929,25,1207,4.19,1141.43,879.47,850.97,25.67,13,21.94,21.18,74.32,934.80,1114.20,212.72,0.180,1.370,0.025,0.010,0.315,0.018,0.043,0.033,0.002,Fail
SCC076930,25,1227,4.23,1143.18,885.39,857.16,25.95,13,22.24,20.57,74.29,937.79,1128.39,222.70,0.180,1.370,0.025,0.010,0.315,0.018,0.043,0.033,0.002,Pass
SCC076937,32,1189,3.88,1114.76,880.03,834.18,14.60,15,19.27,17.92,79.33,926.33,1099.42,227.47,0.170,1.360,0.024,0.014,0.273,0.019,0.043,0.037,0.002,Pass
SCC076938,32,1211,3.92,1115.84,969.97,851.14,14.72,15,19.80,18.20,79.34,938.72,1099.30,162.47,0.170,1.360,0.024,0.014,0.273,0.019,0.043,0.037,0.002,Pass
SCC076945,20,1192,3.86,1130.56,850.28,809.84,21.14,15,23.26,15.86,59.39,925.67,1094.20,157.43,0.200,1.400,0.023,0.014,0.318,0.020,0.036,0.036,0.002,Pass
SCC076946,20,1212,3.97,1124.52,841.09,800.82,21.01,15,23.10,14.85,59.38,925.14,1115.35,167.45,0.200,1.400,0.023,0.014,0.318,0.020,0.036,0.036,0.002,Pass
SCC076951,20,1202,4.01,1127.25,856.77,811.25,21.08,15,23.14,15.46,59.39,926.49,1096.28,157.34,0.200,1.400,0.023,0.014,0.318,0.020,0.036,0.036,0.002,Pass
SCC076952,20,1216,4.11,1123.90,857.03,808.79,20.57,15,23.13,14.84,59.38,923.89,1107.55,182.40,0.200,1.400,0.023,0.014,0.318,0.020,0.036,0.036,0.002,Pass
SCC076955,20,1201,4.08,1130.16,863.18,822.58,21.28,15,23.08,15.23,59.39,924.70,1096.42,157.37,0.170,1.290,0.023,0.013,0.167,0.012,0.031,0.033,0.002,Pass
SCC076956,20,1215,4.18,1116.96,855.41,811.70,20.67,15,23.10,14.62,59.38,923.05,1106.74,182.41,0.170,1.290,0.023,0.013,0.167,0.012,0.031,0.033,0.002,Pass
SCC077135,40,1214,5.05,1133.99,893.01,842.50,14.64,15,17.85,12.98,79.32,928.17,1100.58,207.59,0.180,1.340,0.024,0.019,0.205,0.025,0.033,0.032,0.002,Pass
SCC077136,40,1231,5.10,1125.27,891.95,833.99,14.59,15,17.71,13.13,79.31,924.84,1102.92,242.36,0.180,1.340,0.024,0.019,0.205,0.025,0.033,0.032,0.002,Pass
SCC077417,20,1206,5.25,1122.82,856.36,832.95,32.91,13,23.04,14.55,59.37,938.46,1113.14,137.36,0.160,1.200,0.020,0.017,0.299,0.021,0.032,0.032,0.002,Pass
SCC077418,20,1220,5.37,1108.84,851.38,829.06,32.72,13,23.04,14.56,59.37,943.75,1124.41,127.83,0.160,1.200,0.020,0.017,0.299,0.021,0.032,0.032,0.002,Pass
SCC077433,32,1183,8.45,1070.65,890.12,834.73,23.08,13,20.16,12.34,79.34,943.11,1090.35,212.91,0.192,1.400,0.020,0.012,0.271,0.039,0.051,0.047,0.002,Fail
SCC077433,32,1183,8.45,1070.65,890.12,834.73,23.08,13,20.16,12.34,79.34,943.11,1090.35,212.91,0.192,1.400,0.020,0.012,0.271,0.039,0.051,0.047,0.002,Fail
SCC077436,20,1193,8.04,1062.40,811.73,793.18,23.26,15,23.36,15.09,59.71,977.13,1095.57,67.52,0.166,1.223,0.024,0.025,0.203,0.015,0.033,0.035,0.002,Pass
SCC077436,20,1193,8.04,1062.40,811.73,793.18,23.26,15,23.36,15.09,59.71,977.13,1095.57,67.52,0.166,1.223,0.024,0.025,0.203,0.015,0.033,0.035,0.002,Pass
SCC077882,20,1224,5.23,1131.08,871.85,843.70,32.74,13,23.11,14.68,59.39,968.07,1130.44,132.63,0.180,1.210,0.016,0.024,0.215,0.030,0.032,0.036,0.002,Pass
SCC077883,20,1244,5.34,1094.31,866.83,842.32,32.88,13,23.10,14.63,59.38,972.29,1146.51,122.77,0.180,1.210,0.016,0.024,0.215,0.030,0.032,0.036,0.002,Pass
SCC078568,28,1217,202.49,1131.92,903.16,864.80,25.83,13,22.92,20.19,59.52,986.01,1112.55,87.69,0.170,1.310,0.023,0.008,0.270,0.025,0.031,0.031,0.002,Pass
SCC078568,28,1217,202.49,1131.92,903.16,864.80,25.83,13,22.92,20.19,59.52,986.01,1112.55,87.69,0.170,1.310,0.023,0.008,0.270,0.025,0.031,0.031,0.002,Pass
SCC078775,36,1203,4.79,1122.94,857.17,826.59,16.64,15,18.52,12.40,71.34,928.67,1112.91,162.80,0.180,1.320,0.022,0.016,0.257,0.019,0.036,0.034,0.002,Pass
SCC078776,36,1214,4.83,1122.90,867.75,847.12,16.56,15,18.52,12.45,71.35,933.62,1102.77,142.36,0.180,1.320,0.022,0.016,0.257,0.019,0.036,0.034,0.002,Pass
SCC078782,36,1209,4.87,1111.02,875.19,846.85,16.49,15,18.47,12.51,71.36,933.52,1098.47,142.16,0.180,1.320,0.022,0.016,0.257,0.019,0.036,0.034,0.002,Pass
SCC078782,36,1209,4.87,1111.02,875.19,846.85,16.49,15,18.47,12.51,71.36,933.52,1098.47,142.16,0.180,1.320,0.022,0.016,0.257,0.019,0.036,0.034,0.002,Pass
SCC079116,36,1193,4.71,1092.90,868.60,856.01,17.32,15,18.37,12.18,71.37,929.69,1086.36,147.17,0.180,1.320,0.022,0.016,0.257,0.019,0.036,0.034,0.002,Pass
SCC079302,34,1210,5.09,1117.08,894.06,855.29,15.22,15,21.41,16.15,79.31,938.93,1118.68,207.33,0.160,1.260,0.025,0.018,0.210,0.034,0.031,0.033,0.002,Pass
SCC079303,34,1223,5.13,1119.67,902.18,875.83,14.88,15,21.38,16.14,79.32,943.39,1113.77,177.20,0.160,1.260,0.025,0.018,0.210,0.034,0.031,0.033,0.002,Pass
SCC079307,36,1221,4.68,1109.20,890.59,868.74,16.83,15,19.24,13.07,74.34,942.89,1116.22,162.27,0.160,1.290,0.023,0.023,0.286,0.034,0.033,0.033,0.002,Pass
SCC079309,36,1223,4.64,1114.83,888.37,858.76,16.64,15,19.25,13.18,74.34,943.36,1119.61,162.30,0.160,1.290,0.023,0.023,0.286,0.034,0.033,0.033,0.002,Pass
SCC079324,28,1247,5.29,1111.41,885.31,856.49,18.10,15,20.57,12.58,71.31,939.55,1140.92,217.27,0.170,1.300,0.023,0.020,0.287,0.027,0.037,0.034,0.002,Pass
SCC079325,28,1251,5.40,1119.20,860.80,854.13,17.99,15,20.55,12.36,71.31,944.65,1148.69,187.30,0.170,1.300,0.023,0.020,0.287,0.027,0.037,0.034,0.002,Pass
SCC079332,16,1250,5.39,1144.34,823.68,791.84,24.83,15,23.54,13.20,47.39,936.72,1153.72,157.65,0.180,1.200,0.022,0.012,0.232,0.021,0.036,0.044,0.002,Pass
SCC079333,16,1255,5.49,1140.42,826.32,800.61,24.89,15,23.37,14.34,47.39,942.35,1149.41,112.57,0.180,1.200,0.022,0.012,0.232,0.021,0.036,0.044,0.002,Pass
SCC079336,50,1207,4.70,1098.77,1093.58,939.84,18.10,13,18.70,16.84,74.43,1112.86,1178.13,0.00,0.200,1.380,0.022,0.023,0.248,0.029,0.032,0.035,0.002,Pass
SCC079337,50,1218,4.75,1096.59,1094.20,940.33,18.04,13,20.11,15.43,74.29,1113.37,1149.77,0.00,0.200,1.380,0.022,0.023,0.248,0.029,0.032,0.035,0.002,Pass
SCC079340,50,1209,4.83,1072.04,913.77,867.22,13.46,15,17.78,13.13,99.28,949.38,1103.53,237.39,0.200,1.380,0.022,0.023,0.248,0.029,0.032,0.035,0.002,Pass
SCC079341,50,1221,4.88,1092.84,929.05,866.25,13.95,15,17.71,13.14,99.25,949.83,1124.37,277.33,0.200,1.380,0.022,0.023,0.248,0.029,0.032,0.035,0.002,Pass
SCC079344,40,1211,4.88,1118.11,871.43,849.77,14.40,15,17.96,13.10,79.35,940.86,1097.40,172.16,0.200,1.240,0.023,0.018,0.248,0.037,0.033,0.030,0.002,Pass
SCC079345,40,1220,4.93,1099.94,900.77,866.20,14.31,15,17.95,13.23,79.35,940.00,1093.15,182.16,0.200,1.240,0.023,0.018,0.248,0.037,0.033,0.030,0.002,Pass
SCC079383,12,1224,5.86,1121.03,905.33,846.92,35.09,13,26.82,17.84,19.78,1008.23,1165.31,0.00,0.180,1.240,0.025,0.019,0.237,0.040,0.041,0.032,0.002,Pass
SCC079383,12,1224,5.86,1121.03,905.33,846.92,35.09,13,26.82,17.84,19.78,1008.23,1165.31,0.00,0.180,1.240,0.025,0.019,0.237,0.040,0.041,0.032,0.002,Pass
SCC079384,20,1232,5.95,1110.97,873.60,867.32,26.57,13,22.42,17.87,39.73,981.20,1136.36,47.21,0.180,1.200,0.022,0.012,0.232,0.021,0.036,0.044,0.002,Pass
SCC079384,20,1232,5.95,1110.97,873.60,867.32,26.57,13,22.42,17.87,39.73,981.20,1136.36,47.21,0.180,1.200,0.022,0.012,0.232,0.021,0.036,0.044,0.002,Pass
SCC079835,16,1223,5.77,1126.18,819.95,794.93,25.17,15,23.30,12.64,47.42,954.68,1127.94,117.68,0.160,1.150,0.020,0.019,0.243,0.031,0.033,0.032,0.002,Pass
SCC079836,16,1222,5.88,1109.77,826.86,803.85,25.21,15,23.14,14.21,47.43,963.09,1128.25,82.56,0.160,1.150,0.020,0.019,0.243,0.031,0.033,0.032,0.002,Pass
SCC080237,50,1242,6.78,1121.93,926.25,857.18,18.57,13,18.06,12.45,99.19,946.95,1145.36,332.62,0.200,1.380,0.022,0.023,0.248,0.029,0.032,0.035,0.002,Fail
SCC080238,50,1239,6.80,1109.52,919.56,866.23,18.66,13,18.10,12.67,99.23,949.76,1127.16,282.68,0.200,1.380,0.022,0.023,0.248,0.029,0.032,0.035,0.002,Pass
SCC080384,40,1200,5.62,1119.79,874.58,846.52,15.37,15,18.10,12.80,79.35,928.85,1086.96,182.67,0.200,1.240,0.023,0.018,0.248,0.037,0.033,0.030,0.002,Pass
SCC080389,40,1206,5.05,1096.73,876.88,849.86,15.14,15,18.08,12.97,79.35,928.19,1079.47,187.06,0.200,1.240,0.023,0.018,0.248,0.037,0.033,0.030,0.002,Pass
SCC080401,36,1195,4.73,1072.96,865.19,851.20,17.10,15,19.06,11.55,71.36,927.86,1086.73,152.21,0.160,1.290,0.023,0.023,0.286,0.034,0.033,0.033,0.002,Pass
SCC080402,36,1191,4.69,1114.66,858.79,834.23,16.66,15,19.10,11.67,71.34,924.08,1100.54,192.26,0.160,1.290,0.023,0.023,0.286,0.034,0.033,0.033,0.002,Pass
SCC080403,36,1195,4.73,1075.92,869.80,842.62,17.05,15,19.09,11.61,71.36,928.88,1085.78,147.17,0.160,1.260,0.025,0.018,0.210,0.034,0.031,0.033,0.002,Pass
SCC080408,36,1189,4.62,1100.02,854.50,838.67,15.86,15,19.11,11.71,71.34,923.23,1099.58,192.23,0.160,1.260,0.025,0.018,0.210,0.034,0.031,0.033,0.002,Pass
SCC080409,36,1198,4.65,1078.74,867.22,846.84,15.75,15,19.12,11.73,71.36,928.53,1089.22,147.16,0.160,1.260,0.025,0.018,0.210,0.034,0.031,0.033,0.002,Pass
SCC080439,20,1229,5.62,1108.17,890.18,868.11,25.91,13,22.39,17.03,39.77,979.56,1133.24,47.19,0.160,1.150,0.020,0.019,0.243,0.031,0.033,0.032,0.002,Pass
SCC080441,20,1225,5.62,1111.63,885.15,867.22,26.82,13,22.46,16.98,39.81,975.54,1128.95,47.12,0.160,1.150,0.020,0.019,0.243,0.031,0.033,0.032,0.002,Pass
SCC080446,20,1218,5.60,1141.84,894.01,877.03,27.50,13,22.12,16.50,39.63,983.75,1124.95,32.12,0.180,1.200,0.022,0.012,0.232,0.021,0.036,0.044,0.002,Pass
SCC080447,20,1224,5.67,1121.89,880.69,865.03,26.80,13,22.45,16.98,39.80,974.22,1129.07,47.04,0.180,1.200,0.022,0.012,0.232,0.021,0.036,0.044,0.002,Pass
SCC080544,12,1226,4.87,1147.28,809.77,807.78,38.33,13,27.50,8.82,23.50,938.98,1133.48,37.44,0.150,1.160,0.020,0.010,0.193,0.031,0.031,0.032,0.002,Pass
SCC080545,12,1228,4.97,1114.75,819.23,829.03,38.21,13,27.73,7.78,23.51,947.40,1134.88,37.42,0.150,1.160,0.020,0.010,0.193,0.031,0.031,0.032,0.002,Pass
SCC081966,28,1224,5.05,1119.78,862.88,881.09,23.67,13,22.77,13.88,79.34,964.40,1118.76,187.59,0.170,1.280,0.025,0.014,0.241,0.037,0.032,0.034,0.002,Pass
SCC081967,28,1225,5.18,1109.96,850.05,862.63,23.68,13,22.67,13.80,79.30,946.96,1124.18,207.64,0.170,1.280,0.025,0.014,0.241,0.037,0.032,0.034,0.002,Pass
SCC081974,20,1233,5.22,1137.59,818.32,868.93,31.75,13,22.93,15.42,59.41,993.05,1137.42,73.01,0.170,1.280,0.025,0.014,0.241,0.037,0.032,0.034,0.002,Pass
SCC081975,20,1234,5.32,1129.43,821.73,860.74,31.65,13,23.03,15.58,59.40,982.19,1137.52,102.90,0.170,1.280,0.025,0.014,0.241,0.037,0.032,0.034,0.002,Pass
SCC082071,25,1193,3.95,1127.05,865.65,870.16,25.78,13,23.83,20.87,74.33,934.41,1100.27,167.13,0.180,1.320,0.024,0.013,0.274,0.031,0.032,0.032,0.002,Pass
SCC082072,25,1205,3.99,1089.22,870.69,883.11,25.60,13,22.08,18.52,74.32,931.23,1106.04,192.53,0.180,1.320,0.024,0.013,0.274,0.031,0.032,0.032,0.002,Pass
SCC082368,25,1224,5.28,1091.50,906.18,901.74,19.70,15,23.14,21.97,74.32,934.94,1122.05,207.43,0.150,1.260,0.021,0.010,0.237,0.026,0.030,0.032,0.002,Pass
SCC082368,25,1224,5.28,1091.50,906.18,901.74,19.70,15,23.14,21.97,74.32,934.94,1122.05,207.43,0.150,1.260,0.021,0.010,0.237,0.026,0.030,0.032,0.002,Pass
SCC083950,30,1180,4.54,1061.80,863.10,852.69,15.30,15,20.36,22.35,89.34,948.35,1076.79,137.68,0.160,1.350,0.023,0.018,0.235,0.038,0.032,0.031,0.002,Pass
